Annotation,cell_class,Max_TopStruct,NT_binary,Meta_Class,Annotation Reduced,Anno + Topstruct,Anno + Topstruct + Layer
Ex_Ccn3_Fezf2_Ptprc_3,neuron,CTXsp,VGLUT1_VGLUT2,MC_51:Amygdalar neurons,Ex_Ccn3_Fezf2_Ptprc,Ex_Ccn3_Fezf2_Ptprc_CTXsp,Ex_Ccn3_Fezf2_Ptprc_CTXsp
Ex_Ccn3_Fezf2_Cd36,neuron,CTXsp,VGLUT1,MC_51:Amygdalar neurons,Ex_Ccn3_Fezf2_Cd36,Ex_Ccn3_Fezf2_Cd36_CTXsp,Ex_Ccn3_Fezf2_Cd36_CTXsp
Ex_Ccn3_Fezf2_Mndal,neuron,CTXsp,VGLUT1,MC_51:Amygdalar neurons,Ex_Ccn3_Fezf2_Mndal,Ex_Ccn3_Fezf2_Mndal_CTXsp,Ex_Ccn3_Fezf2_Mndal_CTXsp
Ex_Ccn3_Fezf2_Scin,neuron,CTXsp,VGLUT1,MC_51:Amygdalar neurons,Ex_Ccn3_Fezf2_Scin,Ex_Ccn3_Fezf2_Scin_CTXsp,Ex_Ccn3_Fezf2_Scin_CTXsp
Ex_Ccn3_Slc30a3_Fanci,neuron,CTXsp,VGLUT1,MC_51:Amygdalar neurons,Ex_Ccn3_Slc30a3_Fanci,Ex_Ccn3_Slc30a3_Fanci_CTXsp,Ex_Ccn3_Slc30a3_Fanci_CTXsp
Ex_Ccn3_Slc30a3_Grp,neuron,CTXsp,VGLUT1,MC_51:Amygdalar neurons,Ex_Ccn3_Slc30a3_Grp,Ex_Ccn3_Slc30a3_Grp_CTXsp,Ex_Ccn3_Slc30a3_Grp_CTXsp
Ex_Cyp26b1_Slc30a3_Dkkl1_1,neuron,CTXsp,VGLUT1,MC_54:Lateral olfactory tract and amygdalar neurons,Ex_Cyp26b1_Slc30a3_Dkkl1,Ex_Cyp26b1_Slc30a3_Dkkl1_CTXsp,Ex_Cyp26b1_Slc30a3_Dkkl1_CTXsp
Ex_Cyp26b1_Slc30a3_Dkkl1_2,neuron,CTXsp,VGLUT1,MC_54:Lateral olfactory tract and amygdalar neurons,Ex_Cyp26b1_Slc30a3_Dkkl1,Ex_Cyp26b1_Slc30a3_Dkkl1_CTXsp,Ex_Cyp26b1_Slc30a3_Dkkl1_CTXsp
Ex_Cyp26b1_Slc30a3_Ptprc_1,neuron,CTXsp,VGLUT1,MC_54:Lateral olfactory tract and amygdalar neurons,Ex_Cyp26b1_Slc30a3_Ptprc,Ex_Cyp26b1_Slc30a3_Ptprc_CTXsp,Ex_Cyp26b1_Slc30a3_Ptprc_CTXsp
Ex_Cyp26b1_Slc30a3_Ptprc_2,neuron,CTXsp,VGLUT1,MC_52:Amygdalar neurons,Ex_Cyp26b1_Slc30a3_Ptprc,Ex_Cyp26b1_Slc30a3_Ptprc_CTXsp,Ex_Cyp26b1_Slc30a3_Ptprc_CTXsp
